Line #,IM GUI Item Attribute Set,IM GUI / Load Sheet (FUSE) Name,IM / Load Sheet (FUSE) XML Name,GDSN XML Name,GDSN BMS ID,DSD Attribute Name,DSD Qualifer Attribute Name,ContentSync Attribute Name,Mandatory/ Optional,Definition,Data Type,# of digits before the decimal (floats),Min Length (Non-floats)/ # of digits after the decimal (floats),Max Length (Non-floats)/ Total digits including decimal (floats),Global/Target Market Specific,Occurrence,Qualifier Type,Qual Valid Value List,"Correctable
 Attribute (Y/N)",Relationship Dependent Data (RDD) (Y/N),Additional Comments,Examples,Notes,# of Values allowed per Qualifier Type (Language/uom/currency),Last Revision Date,Revision
10,Accessories,Bracelet Style,braceletStyle,N/A,N/A,N/A,,N/A,O,Descriptive terms used by the manufacturer to denote the general aesthetic of the bracelet.,string,,1,4000,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
2/15/2021- Participant dictionary update only (documentation only) to add missing minimum and maximum field length to attribute metadata (IM 8.20)
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
30,Accessories,Chain Pattern,chainPattern,N/A,N/A,N/A,,N/A,O,Descriptive terms used to denote any pattern which defines the chain portion of the item. Example Herringbone.,string,,1,100,,0..Many,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
2/15/2021- Participant dictionary update only (documentation only) to add missing minimum and maximum field length to attribute metadata (IM 8.20)
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
50,Accessories,Clasp Type,claspType,N/A,N/A,N/A,,N/A,O,Descriptive terms used to denote the clasp or closure for the item.,string,,1,100,,0..Many,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
2/15/2021- Participant dictionary update only (documentation only) to add missing minimum and maximum field length to attribute metadata (IM 8.20)
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
70,Accessories,Color of Lenses,colorOfLenses,N/A,N/A,N/A,,N/A,O,The color of the lens,string,,1,80,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
2/15/2021- Participant dictionary update only (documentation only) to add missing minimum and maximum field length to attribute metadata (IM 8.20)
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
90,Accessories,Earring Feature,earringFeature,N/A,N/A,N/A,,N/A,O,Features distinct to earring jewelry.,string,,1,400,,0..Many,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
2/15/2021- Participant dictionary update only (documentation only) to add missing minimum and maximum field length to attribute metadata (IM 8.20)
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
110,Accessories,Earring Style,earringStyle,N/A,N/A,N/A,,N/A,O,Descriptive terms used by the manufacturer to denote the general aesthetic of the earring.,string,,1,4000,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
2/15/2021- Participant dictionary update only (documentation only) to add missing minimum and maximum field length to attribute metadata (IM 8.20)
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
130,Accessories,Does Trade Item Contain Polarized Lenses?,hasPolarizedLenses,N/A,N/A,N/A,,N/A,O,Indicates if the lenses are polarized.,VV/booleanVV,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
150,Accessories,Is Orthopedic,isOrthopedic,N/A,N/A,N/A,,N/A,O,Indicator to denote if the footwear is designed to ease or improve musculoskeletal function.,VV/booleanVV,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
170,Accessories,Is Resizable,isResizable,N/A,N/A,N/A,,N/A,O,Indicator to denote if the item is resizable to a larger or smaller size.,VV/booleanVV,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
190,Accessories,Lenses Material,lensesMaterial,N/A,N/A,N/A,,N/A,O,Information about the material of the lenses.,VV/LensesMaterial,,,,,0..1,,,,,,,,,6/25/2021,"6/25/2021- DOCUMENTATION UPDATE ONLY- NO SYSTEM IMPACT- Updated the DSD mapping for this attribute 
6/25/2021- Updated the value for IM GUI Item Attribute Set 
1/4/2021- Participant dictionary update only (documentation only) to add attribute appearing in an Item Management (IM) general use playlist as listed on the IM Playlist Attributes tab of this document but which did not appear on this tab."
